"","x"
"MDKI290",356.849846193509
"MDKI291",574.430713592199
"MDKI292",509.283848282005
"MDKI293",508.556084675721
"MDKI294",246.47163417152
"MDKI295",407.303500309666
"MDKI296",400.110958995322
"MDKI297",375.736965082165
"MDKI298",369.045781537138
"MDKI299",471.078527300408
"MDKI300",453.283487159693
"MDKI301",417.654945377579
"MDKI302",402.725894553338
"MDKI303",14401.6997799823
"MDKI304",3594.97160165151
"MDKI305",4587.26174717429
"MDKI306",3412.30636489714
"MDKI307",3333.53221910799
"MDKI308",3965.20047058367
"MDKI309",39553.7798724256
"MDKI310",706.671520897367
"MDKI311",1030.50162247674
"MDKI312",4979.43391986807
"MDKI313",4045.65955275529
"MDKI314",3785.49578784388
"MDKI315",7193.23354133281
"MDKI316",6560.91119758466
"MDKI317",5727.93583518269
"MDKI318",5734.18739416445
"MDKI319",5420.46643229672
"MDKI320",1160.9027217648
"MDKI321",1160.47946478857
"MDKI322",441.187132246905
"MDKI323",758.193951142091
"MDKI324",979.443903307548
"MDKI325",941.473645314872
"MDKI326",747.897965542778
"MDKI327",766.522690949094
"MDKI328",864.726728572179
"MDKI329",886.444811224718
"MDKI330",372.478567073434
"MDKI331",944.686269209486
"MDKI332",1239.86454663421
"MDKI333",140.795283067205
"MDKI334",192.500089560964
"MDKI335",775.498979009834
"MDKI336",434.257165278029
"MDKI337",348.783224241646
"MDKI338",454.907099759773
"MDKI339",656.240111573702
"MDKI340",965.806211300509
"MDKI341",713.869435846137
"MDKI342",701.343308865837
"MDKI343",1073.27394608991
"MDKI344",926.931862535847
"MDKI345",809.069658392579
"MDKI346",536.936769317876
"MDKI347",582.543791601323
"MDKI348",507.330772702831
"MDKI349",1036.73886254316
"MDKI350",342.784404920864
"MDKI351",554.416759793412
"MDKI352",467.348154572055
"MDKI353",9915.13809250726
"MDKI354",473.023172214999
"MDKI355",2183.52604066509
"MDKI356",1475.49833724539
"MDKI357",1426.63618633137
"MDKI358",1416.30621727094
"MDKI359",1501.85075515557
"MDKI360",1221.67388231378
"MDKI361",1474.25562952065
"MDKI362",1499.26260413053
"MDKI363",1125.39531141428
"MDKI364",1135.9889167081
"MDKI365",1390.25175990565
"MDKI366",1132.47737680156
"MDKI367",1289.09328129314
"MDKI368",1229.49269658289
"MDKI369",1286.38959536552
"MDKI370",1138.90200348678
"MDKI371",1136.64670020862
"MDKI372",1207.75570896055
"MDKI373",2892.04827615373
"MDKI374",6588.35707711059
"MDKI375",6518.09375806359
"MDKI376",597.614615377973
"MDKI377",1629.52398575998
"MDKI378",452.032031708624
"MDKI379",383.682645653773
"MDKI380",726.127682546705
"MDKI381",909.771724723678
